type,z,class_size,cycle_length,cycle_count,exclude,include,contribution
15,15,87178291200,4,21794572800,0,1,43589145600
1^2 13,26,50295168000,12,4191264000,1,1,50295168000
1 3 11,33,39626496000,10,3962649600,0,1,19813248000
1^4 11,264,4953312000,10,495331200,12,7,59439744000
1 5 9,45,29059430400,12,2421619200,0,1,14529715200
3^2 9,162,8072064000,6,1345344000,3,1,24216192000
1^3 3 9,162,8072064000,6,1345344000,3,1,24216192000
1^6 9,6480,201801600,6,33633600,210,181,42378336000
1 7^2,98,13343616000,3,4447872000,7,1,93405312000
3 5 7,105,12454041600,12,1037836800,0,1,6227020800
1^3 5 7,210,6227020800,12,518918400,3,1,18681062400
1^2 3^2 7,252,5189184000,6,864864000,7,1,36324288000
1^5 3 7,2520,518918400,6,86486400,40,31,20756736000
1^8 7,282240,4633200,3,1544400,9793,9241,45372927600
5^3,750,1743565824,4,435891456,15,1,26153487360
1^2 3 5^2,300,4358914560,4,1089728640,11,1,47948060160
1^5 5^2,6000,217945728,4,54486432,320,181,69742632960
1 3^3 5,810,1614412800,4,403603200,9,1,14529715200
1^4 3^2 5,2160,605404800,4,151351200,60,25,36324288000
1^7 3 5,75600,17297280,4,4324320,966,841,16709172480
1^10 5,18144000,72072,4,18018,610200,606061,43978334400
3^5,29160,44844800,2,22422400,840,811,37669632000
1^3 3^4,11664,112112000,2,56056000,804,649,90138048000
1^6 3^3,116640,11211200,2,5605600,2514,1801,28184956800
1^9 3^2,6531840,200200,2,100100,303240,294085,60708648000
1^12 3,1437004800,910,2,455,47251776,47175481,42999116160
1^15,1307674368000,1,1,1,38356711680,38351771641,38356711680
